id,value
2017-02-27.手机029,12
2017-02-27.手机106,3573
2017-02-27.手机010,26
2017-02-27.手机100,107
2017-02-27.手机136,1896
2017-02-27.手机157,292
2017-02-27.手机189,138
2017-02-27.手机185,867
2017-02-27.手机122,8
2017-02-27.手机130,1223
2017-02-27.手机131,480
2017-02-27.手机138,372
2017-02-27.手机116,126
2017-02-27.手机139,244
2017-02-27.手机108,252
2017-02-27.手机133,578
2017-02-27.手机153,2741
2017-02-27.手机158,74
2017-02-27.手机181,1
2017-02-27.手机156,184
2017-02-27.手机152,95
2017-02-27.手机135,171
2017-02-27.手机188,48
2017-02-27.手机171,92
2017-02-27.手机173,262
2017-02-27.手机333,17
2017-02-27.手机168,419
2017-02-27.手机163,58
2017-02-27.手机132,67
2017-02-27.手机169,134
2017-02-27.手机313,3
2017-02-27.手机031,4
2017-02-27.手机852,3
2017-02-27.手机170,4
2017-02-27.手机008,2
2017-02-27.11位号码,14573
2017-02-27.5位号码,6489
2017-02-27.8位号码,320
2017-02-27.9位号码,621
2017-02-27.14位号码,32
2017-02-27.10位号码,778
2017-02-27.7位号码,297
2017-02-27.12位号码,1894
2017-02-27.13位号码,157
2017-02-27.15位号码,1
2017-02-27.17位号码,3
