id,value
2017-03-03.手机106,4811
2017-03-03.手机132,1881
2017-03-03.手机131,7304
2017-03-03.手机100,1188
2017-03-03.手机010,2997
2017-03-03.手机133,3382
2017-03-03.手机122,913
2017-03-03.手机130,1627
2017-03-03.手机115,459
2017-03-03.手机555,2955
2017-03-03.手机138,146
2017-03-03.手机153,2860
2017-03-03.手机136,517
2017-03-03.手机135,146
2017-03-03.手机150,71
2017-03-03.手机185,109
2017-03-03.手机764,179
2017-03-03.手机188,201
2017-03-03.手机107,28
2017-03-03.手机037,9
2017-03-03.手机137,277
2017-03-03.手机109,142
2017-03-03.手机139,34
2017-03-03.手机168,75
2017-03-03.手机172,134
2017-03-03.手机156,258
2017-03-03.手机173,33
2017-03-03.手机152,2
2017-03-03.手机108,25
2017-03-03.手机031,7
2017-03-03.手机171,12
2017-03-03.手机182,5
2017-03-03.手机177,109
2017-03-03.手机158,6
2017-03-03.手机186,12
2017-03-03.手机105,3
2017-03-03.手机400,1
2017-03-03.手机406,1
2017-03-03.11位号码,32919
2017-03-03.12位号码,1667
2017-03-03.7位号码,291
2017-03-03.9位号码,735
2017-03-03.10位号码,1204
2017-03-03.6位号码,3
2017-03-03.13位号码,1013
2017-03-03.8位号码,1000
2017-03-03.14位号码,187
2017-03-03.5位号码,192
2017-03-03.16位号码,14
2017-03-03.18位号码,2
2017-03-03.4位号码,15
2017-03-03.17位号码,12
