id,value
2017-04-17.手机106,7885
2017-04-17.手机107,1060
2017-04-17.手机100,2537
2017-04-17.手机188,1826
2017-04-17.手机153,4483
2017-04-17.手机168,169
2017-04-17.手机138,1385
2017-04-17.手机177,1633
2017-04-17.手机180,297
2017-04-17.手机019,158
2017-04-17.手机010,1840
2017-04-17.手机189,594
2017-04-17.手机166,1231
2017-04-17.手机135,392
2017-04-17.手机155,1257
2017-04-17.手机156,2855
2017-04-17.手机131,2791
2017-04-17.手机154,827
2017-04-17.手机145,234
2017-04-17.手机888,3134
2017-04-17.手机133,1828
2017-04-17.手机170,1745
2017-04-17.手机186,565
2017-04-17.手机171,609
2017-04-17.手机130,1885
2017-04-17.手机150,17
2017-04-17.手机136,1449
2017-04-17.手机102,113
2017-04-17.手机132,238
2017-04-17.手机112,123
2017-04-17.手机109,274
2017-04-17.手机158,420
2017-04-17.手机108,267
2017-04-17.手机173,431
2017-04-17.手机053,36
2017-04-17.手机137,56
2017-04-17.手机123,50
2017-04-17.手机545,29
2017-04-17.手机139,359
2017-04-17.手机900,140
2017-04-17.手机187,106
2017-04-17.手机458,25
2017-04-17.手机031,14
2017-04-17.手机159,99
2017-04-17.手机546,25
2017-04-17.手机185,99
2017-04-17.手机147,13
2017-04-17.手机000,27
2017-04-17.手机584,17
2017-04-17.手机151,2
2017-04-17.11位号码,47649
2017-04-17.10位号码,4449
2017-04-17.13位号码,767
2017-04-17.5位号码,24560
2017-04-17.16位号码,312
2017-04-17.12位号码,4220
2017-04-17.7位号码,315
2017-04-17.8位号码,2066
2017-04-17.9位号码,1296
2017-04-17.14位号码,443
2017-04-17.20位号码,55
2017-04-17.15位号码,131
2017-04-17.6位号码,444
2017-04-17.17位号码,6
2017-04-17.19位号码,3
