id,value
2017-03-20.手机163,267
2017-03-20.手机133,2206
2017-03-20.手机106,6097
2017-03-20.手机171,1234
2017-03-20.手机131,1079
2017-03-20.手机189,800
2017-03-20.手机010,1478
2017-03-20.手机135,632
2017-03-20.手机138,923
2017-03-20.手机185,669
2017-03-20.手机130,2806
2017-03-20.手机155,12
2017-03-20.手机132,1002
2017-03-20.手机157,389
2017-03-20.手机123,1172
2017-03-20.手机199,71
2017-03-20.手机170,223
2017-03-20.手机400,470
2017-03-20.手机125,5
2017-03-20.手机156,800
2017-03-20.手机100,128
2017-03-20.手机136,1725
2017-03-20.手机887,177
2017-03-20.手机177,519
2017-03-20.手机137,189
2017-03-20.手机168,182
2017-03-20.手机153,501
2017-03-20.手机666,20
2017-03-20.手机139,574
2017-03-20.手机150,5
2017-03-20.手机110,12
2017-03-20.手机173,193
2017-03-20.手机031,5
2017-03-20.手机181,4
2017-03-20.手机105,4
2017-03-20.手机159,1
2017-03-20.手机134,9
2017-03-20.手机152,5
2017-03-20.手机008,1
2017-03-20.11位号码,26589
2017-03-20.10位号码,1938
2017-03-20.7位号码,709
2017-03-20.12位号码,2195
2017-03-20.8位号码,2332
2017-03-20.5位号码,11037
2017-03-20.6位号码,316
2017-03-20.9位号码,1470
2017-03-20.4位号码,39
2017-03-20.19位号码,10
2017-03-20.13位号码,120
2017-03-20.14位号码,19
2017-03-20.16位号码,25
2017-03-20.18位号码,5
2017-03-20.20位号码,5
2017-03-20.15位号码,14
