id,value
2017-03-28.手机106,7712
2017-03-28.手机010,2288
2017-03-28.手机133,2130
2017-03-28.手机189,423
2017-03-28.手机131,815
2017-03-28.手机132,2071
2017-03-28.手机186,361
2017-03-28.手机138,1728
2017-03-28.手机888,4772
2017-03-28.手机153,2082
2017-03-28.手机130,2227
2017-03-28.手机139,832
2017-03-28.手机125,11
2017-03-28.手机177,736
2017-03-28.手机134,307
2017-03-28.手机164,146
2017-03-28.手机156,1805
2017-03-28.手机165,1717
2017-03-28.手机135,233
2017-03-28.手机170,472
2017-03-28.手机123,289
2017-03-28.手机178,78
2017-03-28.手机126,682
2017-03-28.手机008,17
2017-03-28.手机155,149
2017-03-28.手机136,736
2017-03-28.手机168,2963
2017-03-28.手机031,34
2017-03-28.手机171,98
2017-03-28.手机100,385
2017-03-28.手机151,85
2017-03-28.手机107,728
2017-03-28.手机122,63
2017-03-28.手机108,204
2017-03-28.手机188,19
2017-03-28.手机187,49
2017-03-28.手机113,41
2017-03-28.手机152,3
2017-03-28.手机195,5
2017-03-28.手机175,3
2017-03-28.手机109,2
2017-03-28.手机185,17
2017-03-28.手机169,4
2017-03-28.手机400,11
2017-03-28.手机406,11
2017-03-28.手机043,1
2017-03-28.11位号码,39545
2017-03-28.8位号码,2004
2017-03-28.10位号码,2842
2017-03-28.9位号码,854
2017-03-28.7位号码,599
2017-03-28.13位号码,737
2017-03-28.5位号码,15478
2017-03-28.12位号码,4417
2017-03-28.6位号码,921
2017-03-28.19位号码,497
2017-03-28.16位号码,563
2017-03-28.3位号码,44
2017-03-28.15位号码,229
2017-03-28.14位号码,153
2017-03-28.17位号码,21
2017-03-28.20位号码,3
