id,value
2017-04-24.手机106,10896
2017-04-24.手机173,927
2017-04-24.手机130,1230
2017-04-24.手机138,782
2017-04-24.手机189,428
2017-04-24.手机156,3526
2017-04-24.手机177,1012
2017-04-24.手机180,540
2017-04-24.手机164,444
2017-04-24.手机008,7
2017-04-24.手机139,817
2017-04-24.手机155,164
2017-04-24.手机135,369
2017-04-24.手机133,1985
2017-04-24.手机153,691
2017-04-24.手机131,2591
2017-04-24.手机132,381
2017-04-24.手机170,1376
2017-04-24.手机151,38
2017-04-24.手机136,2248
2017-04-24.手机100,576
2017-04-24.手机010,297
2017-04-24.手机166,283
2017-04-24.手机163,201
2017-04-24.手机600,145
2017-04-24.手机184,36
2017-04-24.手机157,105
2017-04-24.手机108,158
2017-04-24.手机137,101
2017-04-24.手机101,286
2017-04-24.手机185,92
2017-04-24.手机031,13
2017-04-24.手机107,1423
2017-04-24.手机158,36
2017-04-24.手机168,47
2017-04-24.手机187,61
2017-04-24.手机059,3
2017-04-24.手机127,40
2017-04-24.手机646,24
2017-04-24.手机039,2
2017-04-24.手机159,7
2017-04-24.手机171,2
2017-04-24.11位号码,34390
2017-04-24.14位号码,229
2017-04-24.10位号码,3887
2017-04-24.8位号码,1018
2017-04-24.9位号码,730
2017-04-24.12位号码,3421
2017-04-24.5位号码,2417
2017-04-24.13位号码,340
2017-04-24.6位号码,980
2017-04-24.7位号码,77
2017-04-24.16位号码,46
2017-04-24.15位号码,8
2017-04-24.19位号码,2
2017-04-24.17位号码,4
2017-04-24.18位号码,5
