id,value
2017-03-26.手机106,8234
2017-03-26.手机075,1
2017-03-26.手机100,807
2017-03-26.手机107,210
2017-03-26.手机156,2029
2017-03-26.手机188,120
2017-03-26.手机177,1034
2017-03-26.手机666,3799
2017-03-26.手机189,390
2017-03-26.手机133,929
2017-03-26.手机136,335
2017-03-26.手机138,1265
2017-03-26.手机123,353
2017-03-26.手机134,1
2017-03-26.手机153,1221
2017-03-26.手机170,490
2017-03-26.手机109,401
2017-03-26.手机130,1727
2017-03-26.手机158,320
2017-03-26.手机400,286
2017-03-26.手机117,356
2017-03-26.手机132,472
2017-03-26.手机024,95
2017-03-26.手机010,881
2017-03-26.手机147,56
2017-03-26.手机146,72
2017-03-26.手机131,873
2017-03-26.手机150,17
2017-03-26.手机168,44
2017-03-26.手机043,2
2017-03-26.手机155,24
2017-03-26.手机199,50
2017-03-26.手机151,12
2017-03-26.手机022,6
2017-03-26.手机103,13
2017-03-26.手机122,6
2017-03-26.手机184,1
2017-03-26.手机031,14
2017-03-26.手机888,6
2017-03-26.手机186,2
2017-03-26.手机180,3
2017-03-26.手机162,2
2017-03-26.11位号码,26959
2017-03-26.12位号码,953
2017-03-26.10位号码,1404
2017-03-26.8位号码,941
2017-03-26.5位号码,14188
2017-03-26.7位号码,492
2017-03-26.9位号码,1127
2017-03-26.13位号码,70
2017-03-26.15位号码,156
2017-03-26.6位号码,21
2017-03-26.16位号码,182
2017-03-26.3位号码,26
2017-03-26.17位号码,5
2017-03-26.14位号码,16
