id,value
2017-03-05.手机100,2520
2017-03-05.手机555,16368
2017-03-05.手机153,12669
2017-03-05.手机131,12459
2017-03-05.手机024,2754
2017-03-05.手机106,12402
2017-03-05.手机166,12
2017-03-05.手机158,1251
2017-03-05.手机171,1542
2017-03-05.手机138,5091
2017-03-05.手机132,2118
2017-03-05.手机133,2037
2017-03-05.手机182,264
2017-03-05.手机139,1647
2017-03-05.手机135,708
2017-03-05.手机136,462
2017-03-05.手机188,1191
2017-03-05.手机406,48
2017-03-05.手机130,516
2017-03-05.手机400,48
2017-03-05.手机010,4212
2017-03-05.手机152,39
2017-03-05.手机313,270
2017-03-05.手机103,51
2017-03-05.手机150,72
2017-03-05.手机108,24
2017-03-05.手机102,24
2017-03-05.手机031,60
2017-03-05.手机125,36
2017-03-05.手机185,72
2017-03-05.手机186,54
2017-03-05.手机151,12
2017-03-05.11位号码,81033
2017-03-05.5位号码,29331
2017-03-05.12位号码,6705
2017-03-05.8位号码,6630
2017-03-05.10位号码,1833
2017-03-05.14位号码,3021
2017-03-05.7位号码,1932
2017-03-05.13位号码,1950
2017-03-05.9位号码,894
2017-03-05.16位号码,270
2017-03-05.17位号码,60
2017-03-05.15位号码,12
