id,value
2017-03-12.手机131,2990
2017-03-12.手机130,37
2017-03-12.手机135,65
2017-03-12.手机159,10
2017-03-12.手机133,1341
2017-03-12.手机010,704
2017-03-12.手机136,3175
2017-03-12.手机132,377
2017-03-12.手机031,20
2017-03-12.手机024,199
2017-03-12.手机037,13
2017-03-12.手机177,261
2017-03-12.手机106,72
2017-03-12.手机151,18
2017-03-12.手机137,20
2017-03-12.手机053,12
2017-03-12.手机152,113
2017-03-12.手机155,2
2017-03-12.手机138,39
2017-03-12.手机158,7
2017-03-12.手机186,58
2017-03-12.手机400,4
2017-03-12.手机406,4
2017-03-12.手机171,1
2017-03-12.手机189,9
2017-03-12.手机108,1
2017-03-12.手机153,4
2017-03-12.手机022,4
2017-03-12.手机187,16
2017-03-12.手机100,12
2017-03-12.手机178,2
2017-03-12.手机122,3
2017-03-12.手机156,10
2017-03-12.5位号码,3961
2017-03-12.11位号码,9603
2017-03-12.13位号码,264
2017-03-12.6位号码,161
2017-03-12.8位号码,326
2017-03-12.10位号码,238
2017-03-12.9位号码,238
2017-03-12.12位号码,75
2017-03-12.16位号码,14
2017-03-12.14位号码,9
2017-03-12.20位号码,2
2017-03-12.15位号码,4
2017-03-12.7位号码,4
