id,value
2017-03-13.手机189,415
2017-03-13.手机153,1331
2017-03-13.手机108,114
2017-03-13.手机106,745
2017-03-13.手机133,1001
2017-03-13.手机156,1371
2017-03-13.手机130,72
2017-03-13.手机131,1109
2017-03-13.手机100,871
2017-03-13.手机136,36
2017-03-13.手机010,424
2017-03-13.手机187,100
2017-03-13.手机123,124
2017-03-13.手机152,19
2017-03-13.手机139,375
2017-03-13.手机031,9
2017-03-13.手机122,23
2017-03-13.手机177,5
2017-03-13.手机159,501
2017-03-13.手机053,2
2017-03-13.手机150,35
2017-03-13.手机137,8
2017-03-13.手机024,66
2017-03-13.手机155,3
2017-03-13.手机888,43
2017-03-13.手机132,86
2017-03-13.手机158,111
2017-03-13.手机151,7
2017-03-13.手机008,4
2017-03-13.手机171,2
2017-03-13.11位号码,9012
2017-03-13.10位号码,2205
2017-03-13.7位号码,52
2017-03-13.5位号码,3416
2017-03-13.12位号码,258
2017-03-13.8位号码,164
2017-03-13.13位号码,97
2017-03-13.14位号码,9
2017-03-13.4位号码,4
2017-03-13.16位号码,14
2017-03-13.9位号码,17
2017-03-13.18位号码,5
