id,value
2017-03-21.手机106,7493
2017-03-21.手机135,227
2017-03-21.手机153,1272
2017-03-21.手机177,552
2017-03-21.手机133,2585
2017-03-21.手机180,181
2017-03-21.手机100,260
2017-03-21.手机123,3281
2017-03-21.手机131,1413
2017-03-21.手机134,1223
2017-03-21.手机130,869
2017-03-21.手机132,1664
2017-03-21.手机186,148
2017-03-21.手机159,129
2017-03-21.手机170,1092
2017-03-21.手机171,714
2017-03-21.手机168,201
2017-03-21.手机010,982
2017-03-21.手机152,14
2017-03-21.手机185,278
2017-03-21.手机158,24
2017-03-21.手机136,1924
2017-03-21.手机156,609
2017-03-21.手机188,159
2017-03-21.手机138,1004
2017-03-21.手机125,95
2017-03-21.手机189,316
2017-03-21.手机666,4
2017-03-21.手机155,223
2017-03-21.手机139,428
2017-03-21.手机356,104
2017-03-21.手机173,154
2017-03-21.手机127,9
2017-03-21.手机887,177
2017-03-21.手机163,203
2017-03-21.手机183,4
2017-03-21.手机137,115
2017-03-21.手机146,29
2017-03-21.手机031,20
2017-03-21.手机054,8
2017-03-21.手机109,3
2017-03-21.手机101,3
2017-03-21.手机108,5
2017-03-21.手机167,1
2017-03-21.手机182,4
2017-03-21.手机110,10
2017-03-21.手机222,18
2017-03-21.手机406,4
2017-03-21.手机400,4
2017-03-21.手机105,5
2017-03-21.11位号码,30244
2017-03-21.10位号码,2155
2017-03-21.12位号码,1997
2017-03-21.9位号码,1062
2017-03-21.5位号码,16963
2017-03-21.8位号码,1848
2017-03-21.6位号码,267
2017-03-21.7位号码,381
2017-03-21.14位号码,165
2017-03-21.20位号码,6
2017-03-21.13位号码,89
2017-03-21.19位号码,8
2017-03-21.15位号码,7
2017-03-21.4位号码,9
2017-03-21.17位号码,6
2017-03-21.16位号码,6
